month,precipitation_sum,rain_sum,temperature_2m_max,temperature_2m_min
2006-01-01,2.6999999999999997,2.6999999999999997,22.406451612903226,8.32258064516129
2006-02-01,0.7,0.7,29.310714285714287,14.703571428571427
2006-03-01,37.199999999999996,37.199999999999996,28.951612903225808,15.229032258064517
2006-04-01,1.1,1.1,37.55333333333333,21.55
2006-05-01,17.7,17.7,39.82258064516129,27.241935483870968
2006-06-01,94.3,94.3,37.233333333333334,26.936666666666667
2006-07-01,278.2,278.2,33.00967741935484,26.90967741935484
2006-08-01,48.800000000000004,48.800000000000004,33.03225806451613,26.34193548387097
2006-09-01,48.5,48.5,34.056666666666665,24.376666666666665
2006-10-01,15.7,15.7,33.119354838709675,21.051612903225806
2006-11-01,1.6,1.6,27.93,15.696666666666665
2006-12-01,2.5,2.5,22.774193548387096,10.209677419354838
2007-01-01,3.0,3.0,21.93548387096774,8.103225806451613
2007-02-01,96.1,96.1,22.599999999999998,11.982142857142858
2007-03-01,65.3,65.3,27.651612903225807,14.790322580645162
2007-04-01,6.6,6.6,38.47,22.493333333333332
2007-05-01,13.5,13.5,39.406451612903226,25.98709677419355
2007-06-01,73.4,73.4,37.96666666666667,28.513333333333332
2007-07-01,100.7,100.7,34.599999999999994,27.39032258064516
2007-08-01,226.0,226.0,32.5,26.335483870967742
2007-09-01,59.8,59.8,32.55,24.613333333333333
2007-10-01,0.30000000000000004,0.30000000000000004,33.358064516129026,18.38064516129032
2007-11-01,0.4,0.4,28.526666666666664,14.796666666666665
2007-12-01,4.2,4.2,22.26774193548387,9.603225806451613
2008-01-01,0.39999999999999997,0.39999999999999997,20.729032258064517,8.012903225806452
2008-02-01,2.4,2.4,23.70689655172414,9.310344827586206
2008-03-01,6.7,6.7,32.68387096774194,16.967741935483872
2008-04-01,13.6,13.6,36.526666666666664,21.28666666666667
2008-05-01,66.3,66.3,37.45483870967742,24.983870967741936
2008-06-01,179.4,179.4,33.46333333333333,25.93
2008-07-01,145.4,145.4,33.03548387096774,26.451612903225808
2008-08-01,267.9,267.9,31.22258064516129,25.358064516129033
2008-09-01,97.5,97.5,32.13333333333333,23.95
2008-10-01,10.4,10.4,32.516129032258064,20.5
2008-11-01,0.7,0.7,27.993333333333332,14.543333333333333
2008-12-01,0.0,0.0,24.18064516129032,11.612903225806452
2009-01-01,4.300000000000001,4.300000000000001,22.283870967741933,10.019354838709678
2009-02-01,16.8,16.8,25.482142857142858,11.924999999999999
2009-03-01,8.5,8.5,30.674193548387095,15.996774193548386
2009-04-01,18.5,18.5,36.66,21.246666666666666
2009-05-01,22.8,22.8,39.39032258064516,25.44516129032258
2009-06-01,13.700000000000001,13.700000000000001,41.11666666666667,28.326666666666664
2009-07-01,87.6,87.6,35.358064516129026,27.748387096774195
2009-08-01,102.5,102.5,34.906451612903226,27.80322580645161
2009-09-01,131.9,131.9,33.20333333333333,24.21333333333333
2009-10-01,9.2,9.2,33.08709677419355,19.248387096774195
2009-11-01,10.3,10.3,27.07,14.479999999999999
2009-12-01,0.9,0.9,23.6,10.212903225806452
2010-01-01,10.4,10.4,21.061290322580643,8.890322580645162
2010-02-01,14.6,14.6,25.610714285714288,11.578571428571427
2010-03-01,2.3,2.3,33.851612903225806,18.312903225806455
2010-04-01,5.5,5.5,40.39666666666667,23.93
2010-05-01,17.6,17.6,41.57741935483871,26.39032258064516
2010-06-01,9.8,9.8,40.50666666666667,28.290000000000003
2010-07-01,273.2,273.2,33.15483870967742,26.97741935483871
2010-08-01,213.5,213.5,31.612903225806452,25.887096774193548
2010-09-01,305.4,305.4,29.92,23.44333333333333
2010-10-01,2.3,2.3,31.26774193548387,19.861290322580647
2010-11-01,19.6,19.6,26.790000000000003,15.629999999999999
2010-12-01,11.8,11.8,21.73548387096774,8.780645161290321
2011-01-01,0.9,0.9,19.296774193548387,6.893548387096774
2011-02-01,46.5,46.5,23.467857142857145,11.0
2011-03-01,9.7,9.7,30.048387096774192,15.441935483870967
2011-04-01,13.6,13.6,34.906666666666666,19.803333333333335
2011-05-01,13.5,13.5,39.90967741935484,25.94193548387097
2011-06-01,70.7,70.7,37.13,27.53666666666667
2011-07-01,169.0,169.0,32.564516129032256,26.041935483870965
2011-08-01,209.9,209.9,31.538709677419355,25.5
2011-09-01,122.2,122.2,31.543333333333337,24.42
2011-10-01,0.6,0.6,31.758064516129032,19.23548387096774
2011-11-01,0.0,0.0,28.186666666666667,16.023333333333333
2011-12-01,0.0,0.0,22.725806451612904,9.551612903225807
2012-01-01,25.400000000000002,25.400000000000002,18.858064516129033,7.690322580645161
2012-02-01,2.4,2.4,23.162068965517243,9.799999999999999
2012-03-01,1.2,1.2,29.75483870967742,14.567741935483872
2012-04-01,18.3,18.3,34.68666666666666,20.616666666666667
2012-05-01,0.7,0.7,40.04516129032258,25.283870967741933
2012-06-01,2.0,2.0,41.376666666666665,30.483333333333334
2012-07-01,135.1,135.1,34.49354838709677,27.467741935483872
2012-08-01,285.7,285.7,30.690322580645162,25.370967741935484
2012-09-01,83.3,83.3,31.34333333333333,23.65666666666667
2012-10-01,7.5,7.5,30.851612903225806,17.874193548387098
2012-11-01,1.1,1.1,26.313333333333333,13.053333333333335
2012-12-01,11.1,11.1,21.661290322580644,9.419354838709678
2013-01-01,47.8,47.8,18.677419354838708,6.745161290322581
2013-02-01,121.9,121.9,21.22142857142857,10.517857142857142
2013-03-01,10.7,10.7,28.280645161290323,14.787096774193548
2013-04-01,11.700000000000001,11.700000000000001,34.68333333333333,20.279999999999998
2013-05-01,1.6,1.6,40.5,25.822580645161292
2013-06-01,35.3,35.3,36.95,27.73
2013-07-01,228.9,228.9,32.36774193548387,26.14516129032258
2013-08-01,196.2,196.2,30.883870967741935,25.47741935483871
2013-09-01,77.2,77.2,32.49333333333333,24.736666666666668
2013-10-01,10.899999999999999,10.899999999999999,30.129032258064516,20.567741935483873
2013-11-01,2.8,2.8,26.02,13.07
2013-12-01,8.1,8.1,21.796774193548387,10.238709677419354
2014-01-01,54.1,54.1,18.91290322580645,8.25483870967742
2014-02-01,31.4,31.4,20.932142857142857,9.375
2014-03-01,35.6,35.6,26.870967741935484,13.980645161290322
2014-04-01,18.0,18.0,34.309999999999995,19.333333333333332
2014-05-01,13.0,13.0,37.906451612903226,24.18064516129032
2014-06-01,17.9,17.9,40.623333333333335,29.183333333333334
2014-07-01,93.0,93.0,35.270967741935486,27.467741935483872
2014-08-01,121.0,121.0,34.33548387096774,26.63225806451613
2014-09-01,95.8,95.8,33.36,24.8
2014-10-01,7.2,7.2,32.76129032258065,20.929032258064513
2014-11-01,0.0,0.0,28.23,14.366666666666667
2014-12-01,6.6,6.6,21.248387096774195,9.483870967741936
2015-01-01,29.2,29.2,18.483870967741936,8.683870967741935
2015-02-01,37.199999999999996,37.199999999999996,24.13214285714286,11.87142857142857
2015-03-01,101.9,101.9,26.448387096774194,14.587096774193547
2015-04-01,49.1,49.1,33.64666666666667,20.216666666666665
2015-05-01,14.5,14.5,40.23870967741936,25.12258064516129
2015-06-01,67.5,67.5,37.45666666666667,27.376666666666665
2015-07-01,276.6,276.6,32.122580645161285,25.90967741935484
2015-08-01,177.4,177.4,32.041935483870965,25.73225806451613
2015-09-01,43.4,43.4,33.873333333333335,23.773333333333333
2015-10-01,16.1,16.1,32.70645161290322,20.019354838709678
2015-11-01,1.7999999999999998,1.7999999999999998,27.706666666666667,15.593333333333334
2015-12-01,0.2,0.2,22.299999999999997,9.996774193548386
2016-01-01,1.2,1.2,21.151612903225807,9.125806451612902
2016-02-01,20.700000000000003,20.700000000000003,24.510344827586206,11.282758620689656
2016-03-01,40.9,40.9,30.241935483870968,16.690322580645162
2016-04-01,2.1,2.1,37.65333333333333,22.483333333333334
2016-05-01,28.900000000000002,28.900000000000002,39.354838709677416,26.23548387096774
2016-06-01,65.5,65.5,38.42333333333333,28.0
2016-07-01,407.6,407.6,32.15806451612903,26.212903225806453
2016-08-01,205.4,205.4,31.603225806451615,25.74516129032258
2016-09-01,10.7,10.7,32.53333333333333,24.736666666666668
2016-10-01,11.4,11.4,32.725806451612904,20.138709677419353
2016-11-01,0.0,0.0,28.483333333333334,14.756666666666666
2016-12-01,0.0,0.0,23.948387096774194,10.974193548387097
2017-01-01,50.599999999999994,50.599999999999994,20.35483870967742,9.13225806451613
2017-02-01,2.6,2.6,24.59642857142857,11.725
2017-03-01,19.7,19.7,29.580645161290324,15.609677419354838
2017-04-01,7.2,7.2,38.09666666666667,22.779999999999998
2017-05-01,8.6,8.6,39.78064516129032,26.190322580645162
2017-06-01,98.9,98.9,37.419999999999995,27.136666666666667
2017-07-01,123.0,123.0,32.877419354838715,26.725806451612904
2017-08-01,156.20000000000002,156.20000000000002,32.145161290322584,26.374193548387098
2017-09-01,71.1,71.1,32.653333333333336,24.64333333333333
2017-10-01,0.0,0.0,33.54838709677419,20.39032258064516
2017-11-01,0.8,0.8,26.733333333333334,14.346666666666668
2017-12-01,7.4,7.4,22.096774193548388,9.8
2018-01-01,8.0,8.0,20.996774193548386,7.409677419354838
2018-02-01,8.4,8.4,25.08214285714286,11.657142857142857
2018-03-01,5.5,5.5,31.51290322580645,17.07741935483871
2018-04-01,43.3,43.3,36.083333333333336,21.966666666666665
2018-05-01,33.9,33.9,39.196774193548386,25.27741935483871
2018-06-01,74.2,74.2,38.64666666666667,29.2
2018-07-01,241.5,241.5,33.25806451612903,26.896774193548385
2018-08-01,133.0,133.0,32.458064516129035,26.47741935483871
2018-09-01,148.6,148.6,31.339999999999996,24.040000000000003
2018-10-01,1.7,1.7,31.4,19.016129032258064
2018-11-01,3.5,3.5,26.796666666666667,14.706666666666667
2018-12-01,0.7,0.7,21.02258064516129,7.990322580645161
2019-01-01,31.900000000000002,31.900000000000002,19.387096774193548,7.590322580645162
2019-02-01,49.5,49.5,20.74285714285714,10.275
2019-03-01,11.6,11.6,27.29032258064516,13.948387096774193
2019-04-01,9.3,9.3,36.45333333333334,22.19333333333333
2019-05-01,2.6,2.6,39.08387096774193,25.406451612903226
2019-06-01,8.2,8.2,40.84,28.903333333333332
2019-07-01,179.0,179.0,34.53225806451613,27.48709677419355
2019-08-01,163.0,163.0,32.274193548387096,26.335483870967742
2019-09-01,71.2,71.2,32.35,25.6
2019-10-01,12.2,12.2,31.83225806451613,21.141935483870967
2019-11-01,23.6,23.6,26.763333333333332,16.066666666666666
2019-12-01,10.1,10.1,18.129032258064516,8.022580645161291
2020-01-01,62.0,62.0,18.019354838709678,8.051612903225806
2020-02-01,28.1,28.1,22.24137931034483,10.351724137931035
2020-03-01,76.5,76.5,25.706451612903226,14.67741935483871
2020-04-01,9.5,9.5,33.70333333333333,20.546666666666667
2020-05-01,27.6,27.6,37.806451612903224,24.63225806451613
2020-06-01,9.0,9.0,37.42666666666666,27.553333333333335
2020-07-01,106.7,106.7,34.91290322580645,27.258064516129032
2020-08-01,204.7,204.7,32.42903225806452,26.532258064516128
2020-09-01,40.6,40.6,34.67666666666666,25.923333333333336
2020-10-01,0.0,0.0,33.038709677419355,19.05806451612903
2020-11-01,16.7,16.7,25.956666666666667,12.57
2020-12-01,0.7,0.7,21.583870967741937,8.654838709677419
2021-01-01,27.7,27.7,19.13225806451613,8.219354838709679
2021-02-01,8.8,8.8,25.164285714285715,11.546428571428573
2021-03-01,2.0,2.0,31.91290322580645,17.480645161290322
2021-04-01,3.0999999999999996,3.0999999999999996,36.473333333333336,20.87
2021-05-01,144.6,144.6,35.75806451612903,23.980645161290322
2021-06-01,23.0,23.0,37.60333333333333,27.006666666666668
2021-07-01,292.4,292.4,34.903225806451616,28.029032258064515
2021-08-01,94.8,94.8,33.12580645161291,26.490322580645163
2021-09-01,137.1,137.1,31.029999999999998,25.15
2021-10-01,33.7,33.7,31.312903225806455,20.693548387096776
2021-11-01,0.0,0.0,26.913333333333334,13.433333333333334
2021-12-01,13.2,13.2,20.383870967741935,9.35483870967742
2022-01-01,72.9,72.9,17.63225806451613,7.870967741935484
2022-02-01,17.599999999999998,17.599999999999998,22.092857142857145,10.25
2022-03-01,0.3,0.3,32.7,17.470967741935485
2022-04-01,0.0,0.0,40.269999999999996,23.583333333333332
2022-05-01,19.1,19.1,40.07741935483871,26.606451612903225
2022-06-01,42.6,42.6,39.656666666666666,27.676666666666666
2022-07-01,212.5,212.5,33.432258064516134,26.490322580645163
2022-08-01,85.5,85.5,33.229032258064514,26.135483870967743
2022-09-01,169.2,169.2,33.36,25.196666666666665
2022-10-01,79.2,79.2,29.603225806451615,19.33225806451613
2022-11-01,8.4,8.4,26.55,14.356666666666666
2022-12-01,0.0,0.0,21.62258064516129,9.038709677419355
2023-01-01,50.3,50.3,18.032258064516128,7.106451612903226
2023-02-01,0.5,0.5,25.925,12.028571428571428
2023-03-01,69.7,69.7,28.77741935483871,16.603225806451615
2023-04-01,4.0,4.0,34.10666666666667,20.459999999999997
2023-05-01,42.5,42.5,36.03548387096774,23.261290322580646
2023-06-01,130.1,130.1,36.64333333333333,26.416666666666668
2023-07-01,343.2,343.2,33.2,26.019354838709678
2023-08-01,78.2,78.2,34.87419354838709,26.741935483870968
2023-09-01,98.7,98.7,34.00666666666667,25.25
2023-10-01,6.4,6.4,32.21612903225807,19.293548387096774
2023-11-01,9.2,9.2,26.296666666666667,14.81
2023-12-01,2.5999999999999996,2.5999999999999996,22.161290322580644,9.770967741935483
2024-01-01,6.8,6.8,17.461290322580645,6.012903225806451
2024-02-01,38.6,38.6,22.7448275862069,10.044827586206896
2024-03-01,15.0,15.0,29.032258064516128,15.019354838709678
2024-04-01,2.6999999999999997,2.6999999999999997,36.69666666666667,21.773333333333333
2024-05-01,1.8,1.8,41.87096774193548,27.05483870967742
2024-06-01,62.400000000000006,62.400000000000006,40.43333333333333,29.396666666666665
2024-07-01,234.5,234.5,34.274193548387096,26.89032258064516
2024-08-01,289.0,289.0,31.80322580645161,25.700000000000003
2024-09-01,337.0,337.0,31.39333333333333,24.476666666666667
2024-10-01,0.0,0.0,33.225806451612904,21.348387096774193
2024-11-01,0.0,0.0,28.490000000000002,16.533333333333335
2024-12-01,38.5,38.5,21.203225806451613,10.103225806451613
